noteId,raterParticipantId,createdAtMillis,version,agree,disagree,helpful,notHelpful,helpfulnessLevel,helpfulOther,helpfulInformative,helpfulClear,helpfulEmpathetic,helpfulGoodSources,helpfulUniqueContext,helpfulAddressesClaim,helpfulImportantContext,helpfulUnbiasedLanguage,notHelpfulOther,notHelpfulIncorrect,notHelpfulSourcesMissingOrUnreliable,notHelpfulOpinionSpeculationOrBias,notHelpfulMissingKeyPoints,notHelpfulOutdated,notHelpfulHardToUnderstand,notHelpfulArgumentativeOrBiased,notHelpfulOffTopic,notHelpfulSpamHarassmentOrAbuse,notHelpfulIrrelevantSources,notHelpfulOpinionSpeculation,notHelpfulNoteNotNeeded,ratedOnTweetId
1853911593530306817,F85A7A70EDB193AF9BB7BBC596C7AFF1507CDD4918462FAB83A9EB4A161621A2,1730842288425,2,0,0,0,0,NOT_HELPFUL,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1853909084627783742
1853912764898521339,F85A7A70EDB193AF9BB7BBC596C7AFF1507CDD4918462FAB83A9EB4A161621A2,1730842316588,2,0,0,0,0,SOMEWHAT_HELPFUL,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1853909084627783742
1853862187242033473,48E779D99C6526D13DBE5D8D6145020382EED71B43F4ADDDE38019E9FDE30545,1730838650058,2,0,0,0,0,HELPFUL,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1853100332768714923
1853190728559530432,29C81F86B17FE96052A0DE6820FF8B96C6FA1331309EA03F69EB1972DDB9B746,1730791783318,2,0,0,0,0,HELPFUL,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1853162759040721235
1853458858766733749,29C81F86B17FE96052A0DE6820FF8B96C6FA1331309EA03F69EB1972DDB9B746,1730813145526,2,0,0,0,0,HELPFUL,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1853247567456325956
1853520183966806255,F7C55698019D6745E162041D4E94CE9FADCFCDB096E0471201EB19F93E5F8DC1,1730803414434,2,0,0,0,0,NOT_HELPFUL,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,1853421131946160134
1853567484256997435,F7C55698019D6745E162041D4E94CE9FADCFCDB096E0471201EB19F93E5F8DC1,1730849409800,2,0,0,0,0,NOT_HELPFUL,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,1853367921243742239
1853593721692185053,F7C55698019D6745E162041D4E94CE9FADCFCDB096E0471201EB19F93E5F8DC1,1730846607832,2,0,0,0,0,NOT_HELPFUL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1853521610655101150
1853779226396180981,F7C55698019D6745E162041D4E94CE9FADCFCDB096E0471201EB19F93E5F8DC1,1730846571765,2,0,0,0,0,NOT_HELPFUL,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,1853521610655101150
1853858643361341758,F7C55698019D6745E162041D4E94CE9FADCFCDB096E0471201EB19F93E5F8DC1,1730831714941,2,0,0,0,0,NOT_HELPFUL,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1853847172309209357
1853864837664653779,F7C55698019D6745E162041D4E94CE9FADCFCDB096E0471201EB19F93E5F8DC1,1730833858020,2,0,0,0,0,HELPFUL,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1853458738797023272
1853864875153391989,F7C55698019D6745E162041D4E94CE9FADCFCDB096E0471201EB19F93E5F8DC1,1730833910047,2,0,0,0,0,NOT_HELPFUL,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1853458738797023272
1853897602921582674,F7C55698019D6745E162041D4E94CE9FADCFCDB096E0471201EB19F93E5F8DC1,1730842935531,2,0,0,0,0,NOT_HELPFUL,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,1853783287451287828
1853539658631680139,80F44D87DF816EDD5258C848FB540F3DFE12814DA7D3DC339A5BC281738316AD,1730783417477,2,0,0,0,0,HELPFUL,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1853508924722254019
1853451229004784077,A7BECA7E60469A57792001EAE4CFE9F858DB492CA586B1D929FA8D4B40650F7D,1730806729060,2,0,0,0,0,HELPFUL,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
1853565202501103942,C28E6F39F602BED9E7B23025A0305DAC806FEA1936D60D975A3FB0B917492060,1730794022957,2,0,0,0,0,HELPFUL,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1853449102232567810
1853695317755183122,C28E6F39F602BED9E7B23025A0305DAC806FEA1936D60D975A3FB0B917492060,1730794264306,2,0,0,0,0,HELPFUL,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1853690374436339754
1853461180594970865,F5290F3AEAA95157A296416297C19D269EC562D6433DE00869DCCCAEF5BD7ADF,1730832756895,2,0,0,0,0,HELPFUL,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1853186236338344051
1853875237353316457,300707C0E3426DF7CFABAA8A7E64CFFF2889A849F6F7171C7ABD459F1237ACB9,1730836009592,2,0,0,0,0,HELPFUL,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1853843675010228511
1853858643361341758,C92C6DDF352ADFD0ECBD43693C896494BDFD46574B8F4D0211C70ADEF088FEA7,1730839197586,2,0,0,0,0,NOT_HELPFUL,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1853847172309209357
1853860216179220674,C92C6DDF352ADFD0ECBD43693C896494BDFD46574B8F4D0211C70ADEF088FEA7,1730839254365,2,0,0,0,0,NOT_HELPFUL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1853847172309209357
1853860373314588818,C92C6DDF352ADFD0ECBD43693C896494BDFD46574B8F4D0211C70ADEF088FEA7,1730839244643,2,0,0,0,0,HELPFUL,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1853847172309209357
1853862501164945507,C92C6DDF352ADFD0ECBD43693C896494BDFD46574B8F4D0211C70ADEF088FEA7,1730839240372,2,0,0,0,0,HELPFUL,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1853847172309209357
1853863031140168169,C92C6DDF352ADFD0ECBD43693C896494BDFD46574B8F4D0211C70ADEF088FEA7,1730839235540,2,0,0,0,0,HELPFUL,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1853847172309209357
1853869611021725996,C92C6DDF352ADFD0ECBD43693C896494BDFD46574B8F4D0211C70ADEF088FEA7,1730839222820,2,0,0,0,0,NOT_HELPFUL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1853847172309209357
1853876220657614916,C92C6DDF352ADFD0ECBD43693C896494BDFD46574B8F4D0211C70ADEF088FEA7,1730839164250,2,0,0,0,0,NOT_HELPFUL,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,1,1,1,1,1853847172309209357
1853885077706408377,C92C6DDF352ADFD0ECBD43693C896494BDFD46574B8F4D0211C70ADEF088FEA7,1730839213011,2,0,0,0,0,HELPFUL,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1853847172309209357
1853886767490867529,C92C6DDF352ADFD0ECBD43693C896494BDFD46574B8F4D0211C70ADEF088FEA7,1730839206967,2,0,0,0,0,HELPFUL,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1853847172309209357
1853604268819034331,6C578D68D479CBF7D03E7FFB2F0397B25A7EE44963D37C4A0946DE2214CDDF38,1730788675898,2,0,0,0,0,HELPFUL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1853559741546459325
1853685605592408568,6C578D68D479CBF7D03E7FFB2F0397B25A7EE44963D37C4A0946DE2214CDDF38,1730788597057,2,0,0,0,0,HELPFUL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1853676115455246350
1853603745227305150,0CCB88B7295F704BECE8B4D4B59B27C627D355C686D27DC9ED76E350255E52B8,1730800676785,2,0,0,0,0,HELPFUL,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1853481139232510042
1853700445740445924,0CCB88B7295F704BECE8B4D4B59B27C627D355C686D27DC9ED76E350255E52B8,1730800656263,2,0,0,0,0,HELPFUL,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1853659928071733335
1853729283614597121,0CCB88B7295F704BECE8B4D4B59B27C627D355C686D27DC9ED76E350255E52B8,1730800599854,2,0,0,0,0,HELPFUL,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1853660453055983925
1853933605531033676,E30B837BAC77A3F6B35B37015C99E5759689EE4EF29A8F2D6D3EB0479C1D486A,1730848238583,2,0,0,0,0,HELPFUL,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1853896556153286963
